,last,first,playerID
303,Stassi,Max,stassma01
304,Story,Trevor,storytr01
305,Suarez,Eugenio,suareeu01
306,Suzuki,Kurt,suzukku01
307,Swanson,Dansby,swansda01
308,Swihart,Blake,swihabl01
309,Tapia,Raimel,tapiara01
310,Taylor,Chris,tayloch03
311,Thames,Eric,thameer01
312,Toles,Andrew,tolesan01
313,Torreyes,Ronald,torrero01
314,Travis,Devon,travide01
315,Trout,Mike,troutmi01
316,Trumbo,Mark,trumbma01
317,Tucker,Preston,tuckepr01
318,Tulowitzki,Troy,tulowtr01
319,Turner,Justin,turneju01
320,Turner,Trea,turnetr01
321,Upton,Justin,uptonju01
322,Valaika,Pat,valaipa01
323,Vazquez,Christian,vazquch01
324,Villar,Jonathan,villajo01
325,Vogelbach,Dan,vogelda01
326,Votto,Joey,vottojo01
327,Walker,Christian,walkech02
328,Walker,Neil,walkene01
329,Wendle,Joey,wendljo01
330,White,Tyler,whitety01
331,Wieters,Matt,wietema01
332,Williamson,Mac,willima08
333,Wilson,Bobby,wilsobo02
334,Wolters,Tony,wolteto01
335,Wong,Kolten,wongko01
336,Yelich,Christian,yelicch01
337,Young,Chris,youngch03
338,Young,Chris,youngch04
339,Zimmerman,Ryan,zimmery01
340,Zobrist,Ben,zobribe01
341,Zunino,Mike,zuninmi01
